number,name,species,primary_type,secondary_type,pokedexX,pokedexY,pokedexOR,pokedexAS
23,Ekans,Snake,POISON,NONE,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.","Moving silently and stealthily, it eats the eggs of birds, such as Pidgey and Spearow, whole. ",Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.
24,Arbok,Cobra,POISON,NONE,The pattern on its belly appears to be a frightening face. Weak foes will flee just at the sight of the pattern.,"To intimidate foes, it spreads its chest wide and makes eerie sounds by expelling air from its mouth. ","This PokÃ©mon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.","This PokÃ©mon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible."
25,Pikachu,Mouse,ELECTRIC,NONE,It raises its tail to check its surroundings.  The tail is sometimes struck by lightning  in this pose.,"It has small electric sacs on both its cheeks. If threatened, it looses electric charges from the sacs.","Whenever Pikachu comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it's evidence that this PokÃ©mon mistook the intensity of its charge.",This PokÃ©mon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.
26,Raichu,Mouse,ELECTRIC,NONE,"When its electricity builds, its muscles are stimulated, and it becomes more aggressive than usual.","It can loose 100,000-volt bursts of electricity, instantly downing foes several times its size.","If the electrical sacs become excessively charged, Raichu plants its tail in the ground and discharges. Scorched patches of ground will be found near this PokÃ©mon's nest.",This PokÃ©mon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.
27,Sandshrew,Mouse,GROUND,NONE,"It burrows and lives underground. If threatened, it curls itself up into a ball for protection.","Disliking water, it lives in deep burrows in arid areas. It can roll itself instantly into a ball.","Sandshrew's body is configured to absorb water without waste, enabling it to survive in an arid desert. This PokÃ©mon curls up to protect itself from its enemies.","Sandshrew has a very dry hide that is extremely tough. The PokÃ©mon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep."
28,Sandslash,Mouse,GROUND,NONE,"If it digs at an incredible pace, it may snap off its spikes and claws. They grow back in a day.",Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,"Sandslash's body is covered by tough spikes, which are hardened sections of its hide. Once a year, the old spikes fall out, to be replaced with new spikes that grow out from beneath the old ones.","Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this PokÃ©mon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws."
29,Nidoranâ™€,Poison Pin,POISON,NONE,"Although small, its venomous barbs render this PokÃ©mon dangerous. The female has smaller horns.","Small and very docile, it protects itself with its small, poisonous horn when attacked.","Nidoranâ™€ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied PokÃ©mon. When enraged, it releases a horrible toxin from its horn.","Nidoranâ™€ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied PokÃ©mon. When enraged, it releases a horrible toxin from its horn."
30,Nidorina,Poison Pin,POISON,NONE,The female has a gentle temperament. It emits ultrasonic cries that have the power to befuddle foes.,"When feeding its young, it first chews the food into  a paste, then spits it out for the offspring.","When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This PokÃ©mon appears to become nervous if separated from the others.","When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This PokÃ©mon appears to become nervous if separated from the others."
31,Nidoqueen,Drill,POISON,GROUND,"It uses its scaly, rugged body to seal the entrance of its nest and protect its young from predators.","The body is covered by stiff, needlelike scales. If it becomes excited, the needles bristle outwards.",Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This PokÃ©mon is at its strongest when it is defending its young.,Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This PokÃ©mon is at its strongest when it is defending its young.
32,Nidoranâ™‚,Poison Pin,POISON,NONE,It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.,Its large ears are flapped like wings when it is listening to distant sounds. It extends toxic barbs when angered.,"Nidoranâ™‚ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this PokÃ©mon's notice.","Nidoranâ™‚ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this PokÃ©mon's notice."
33,Nidorino,Poison Pin,POISON,NONE,"It raises its big ears to check its surroundings. If it senses anything, it attacks immediately.",An aggressive PokÃ©mon that is quick to attack. The horn on its head secretes a powerful venom.,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.","Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might."
34,Nidoking,Drill,POISON,GROUND,"It is recognized by its rock-hard hide and its extended horn. Be careful with the horn, as it contains venom.",One swing of its mighty tail can snap a telephone pole as if it were a matchstick.,"Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this PokÃ©mon goes on a rampage, there is no stopping it.","Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this PokÃ©mon goes on a rampage, there is no stopping it."
35,Clefairy,Fairy,FAIRY,NONE,It is said that happiness will come to those who see a gathering of Clefairy under a full moon.,The moonlight that it stores in the wings on its back apparently gives it the ability to float in midair.,"On every night of a full moon, groups of this PokÃ©mon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.","On every night of a full moon, groups of this PokÃ©mon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other."
36,Clefable,Fairy,FAIRY,NONE,Its hearing is so acute it can hear a pin drop over half a mile away. It lives on quiet mountains.,"A timid fairy PokÃ©mon that is rarely seen, it will run and hide the moment it senses people.","Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.","Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights."
37,Vulpix,Fox,FIRE,NONE,"When it is born, it has just one snow-white tail. The tail splits from its tip as it grows older.","While young, it has six gorgeous tails. When it grows, several new tails are sprouted.","At the time of its birth, Vulpix has one white tail. The tail separates into six if this PokÃ©mon receives plenty of love from its Trainer. The six tails become magnificently curled.","Inside Vulpix's body burns a flame that never goes out. During the daytime, when the temperatures rise, this PokÃ©mon releases flames from its mouth to prevent its body from growing too hot."
38,Ninetales,Fox,FIRE,NONE,"It has nine long tales and fur that gleams gold. It is said to live for 1,000 years.","Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000-year curse.",Ninetales casts a sinister light from its bright red eyes to gain total control over its foe's mind. This PokÃ©mon is said to live for a thousand years.,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This PokÃ©mon is highly intelligent-it can understand human speech.
39,Jigglypuff,Balloon,NORMAL,FAIRY,"It captivates foes with its huge, round eyes, then lulls them to sleep by singing a soothing melody.","If it inflates to sing a lullaby, it can perform longer and cause sure drowsiness in its audience.",Jigglypuff's vocal cords can freely adjust the wavelength of its voice. This PokÃ©mon uses this ability to sing at precisely the right wavelength to make its foes most drowsy.,"When this PokÃ©mon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life."
40,Wigglytuff,Balloon,NORMAL,FAIRY,"Their fur feels so good that if two of them snuggle together, they won't want to be separated.","The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.","Wigglytuff has large, saucerlike eyes. The surfaces of its eyes are always covered with a thin layer of tears. If any dust gets in this PokÃ©mon's eyes, it is quickly washed away.","Wigglytuff's body is very flexible. By inhaling deeply, this PokÃ©mon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon."
41,Zubat,Bat,POISON,FLYING,"Even though it has no eyes, it can sense obstacles using ultrasonic waves it emits from its mouth.","It has no eyes. Instead, it relies on its ultrasonic cries for echolocation to flit about in darkness.",Zubat remains quietly unmoving in a dark spot during the bright daylight hours. It does so because prolonged exposure to the sun causes its body to become slightly burned.,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down."
42,Golbat,Bat,POISON,FLYING,"Once it bites, it will not stop draining energy from the victim even if it gets too heavy to fly.","Once it starts sucking blood, it does not stop until it is full. It flies at night in search of prey.","Golbat loves to drink the blood of living things. It is particularly active in the pitch black of night. This PokÃ©mon flits around in the night skies, seeking fresh blood.","Golbat bites down on prey with its four fangs and drinks the victim's blood. It becomes active on inky dark moonless nights, flying around to attack people and PokÃ©mon."
43,Oddish,Weed,GRASS,POISON,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.","Its scientific name is ""Oddium Wanderus."" At night, it is said to walk nearly 1,000 feet on its two roots.","During the daytime, Oddish buries itself in soil to absorb nutrients from the ground using its entire body. The more fertile the soil, the glossier its leaves become.","Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this PokÃ©mon's feet are thought to change shape and become similar to the roots of trees."
44,Gloom,Weed,GRASS,POISON,"Smells incredibly foul! However, around one out of a thousand people enjoy sniffing its nose-bending stink.","The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away.","Gloom releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this PokÃ©mon is feeling calm and secure, it does not release its usual stinky aroma.","From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey."
45,Vileplume,Flower,GRASS,POISON,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.","It has the world's largest petals. With every step, the petals shake out heavy clouds of toxic pollen.","Vileplume's toxic pollen triggers atrocious allergy attacks. That's why it is advisable never to approach any attractive flowers in a jungle, however pretty they may be.","Vileplume has the world's largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this PokÃ©mon catches and devours them."
46,Paras,Mushroom,BUG,GRASS,Growing out of the bug's back are mushrooms called tochukaso. The mushrooms grow with the bug host.,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug PokÃ©mon host. They are highly valued as a medicine for extending life.,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug PokÃ©mon host. They are highly valued as a medicine for extending life.
47,Parasect,Mushroom,BUG,GRASS,A mushroom grown larger than the host's body controls Parasect. It scatters poisonous spores.,"The larger the mushroom on its back grows, the stronger the mushroom spores it scatters.","Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.","Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once."
48,Venonat,Insect,BUG,POISON,"Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light.",Lives in the shadows of tall trees where it eats bugs. It is attracted by light at night. ,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.","Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey."
49,Venomoth,Poison Moth,BUG,POISON,"The scales it scatters will paralyze anyone who touches them, making that person unable to stand.","The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust.","Venomoth is nocturnal-it is a PokÃ©mon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.","Venomoth is nocturnal-it is a PokÃ©mon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness."
50,Diglett,Mole,GROUND,NONE,Lives about one yard underground where it feeds on plant roots. It sometimes appears aboveground.,"Its skin is very thin. If it is exposed to light, its blood heats up, causing it to grow weak.","Diglett are raised in most farms. The reason is simple- wherever this PokÃ©mon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.","Diglett are raised in most farms. The reason is simple- wherever this PokÃ©mon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables."
51,Dugtrio,Mole,GROUND,NONE,"In battle, it digs through the ground and strikes the unsuspecting foe from an unexpected direction.","Extremely powerful, they can dig through even the hardest ground to a depth of over 60 miles.","Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.","Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly."
52,Meowth,Scratch Cat,NORMAL,NONE,"It is nocturnal in nature. If it spots something shiny, its eyes glitter brightly.",Adores round objects. It wanders the streets on a nightly basis to look for dropped loose change. ,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this PokÃ©mon loves shiny coins that glitter with light.","Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this PokÃ©mon loves shiny coins that glitter with light."
53,Persian,Classy Cat,NORMAL,NONE,"A very haughty PokÃ©mon. Among fans, the size of the jewel in its forehead is a topic of much talk. ",Its lithe muscles allow it to walk without making a sound. It attacks in an instant. ,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the PokÃ©mon's surrounding vicinity. It becomes docile if grabbed by the whiskers.,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the PokÃ©mon's surrounding vicinity. It becomes docile if grabbed by the whiskers.
54,Psyduck,Duck,WATER,NONE,"It is constantly wracked by a headache. When the headache turns intense, it begins using mysterious powers.",It has mystical powers but doesn't recall that it has used them. That is why it always looks puzzled.,"Psyduck uses a mysterious power. When it does so, this PokÃ©mon generates brain waves that are supposedly only seen in sleepers. This discovery spurred controversy among scholars.","If it uses its mysterious power, Psyduck can't remember having done so. It apparently can't form a memory of such an event because it goes into an altered state that is much like deep sleep."
55,Golduck,Duck,WATER,NONE,It appears by waterways at dusk. It may use telekinetic powers if its forehead glows mysteriously.,"The forelegs are webbed, helping to make it an adept swimmer. It can be seen swimming elegantly in lakes, etc.",The webbed flippers on its forelegs and hind legs and the streamlined body of Golduck give it frightening speed. This PokÃ©mon is definitely much faster than even the most athletic swimmer.,"Golduck is the fastest swimmer among all PokÃ©mon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas."
56,Mankey,Pig Monkey,FIGHTING,NONE,It's unsafe to approach if it gets violently enraged for no reason and can't distinguish friends from foes.,"It lives in treetop colonies. If one becomes enraged, the whole colony rampages for no reason.","When Mankey starts shaking and its nasal breathing turns rough, it's a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.","When Mankey starts shaking and its nasal breathing turns rough, it's a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath."
57,Primeape,Pig Monkey,FIGHTING,NONE,It stops being angry only when nobody else is around. To view this moment is very difficult.,"It is always outrageously furious. If it gives chase, it will tenaciously track the target no matter how far.","When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.","When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time."
58,Growlithe,Puppy,FIRE,NONE,Very friendly and faithful to people. It will try to repel enemies by barking and biting.,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.,"Growlithe has a superb sense of smell. Once it smells anything, this PokÃ©mon won't forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.","Growlithe has a superb sense of smell. Once it smells anything, this PokÃ©mon won't forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things."
59,Arcanine,Legendary,FIRE,NONE,A PokÃ©mon that has long been admired for its beauty. It runs agilely as if on wings.,Its magnificent bark conveys a sense of majesty. Anyone hearing it can't help but grovel before it.,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this PokÃ©mon's body is its source of power.","Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this PokÃ©mon's body is its source of power."
60,Poliwag,Tadpole,WATER,NONE,Its slick black skin is thin and damp. A part of its internal organs can be seen through the skin as a spiral pattern.,The direction of the spiral on the belly differs by area. It is more adept at swimming than walking.,"Poliwag has a very thin skin. It is possible to see the PokÃ©mon's spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.","Poliwag has a very thin skin. It is possible to see the PokÃ©mon's spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it."
61,Poliwhirl,Tadpole,WATER,NONE,"It can live in or out of water. When out of water, it constantly sweats to keep its body slimy.","Its two legs are well developed. Even though it can live on the ground, it prefers living in water.","The surface of Poliwhirl's body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle.","The surface of Poliwhirl's body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle."
62,Poliwrath,Tadpole,WATER,FIGHTING,"With extremely tough muscles, it can keep swimming in the Pacific Ocean without resting.",A swimmer adept at both the front crawl and breaststroke. Easily overtakes the best human swimmers.,"Poliwrath's highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this PokÃ©mon can swim back and forth across the ocean without effort.","Poliwrath's highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this PokÃ©mon can swim back and forth across the ocean without effort."
